question,A,B,C,D,correct_answer,category,type
"If departing flight delayed more than 30 minutes due to air traffic , what unit does Cam Ranh TWR have to inform firstly?",ACC HCM,Cam Ranh Air traffic service Reporting Office,Cam Ranh Airport Authority Unit,Flight’s Operation Unit.,D,,LTC_LTCS
Which following departure sequence is correct?,A military training aircraft will be priority than a commercial aircraft.,A commercial aircraft will be priority than a hospital aircraft.,A commercial aircraft will be priority than a military training aircraft.,,C,,LTC_LTCS
Which following departure sequence is correct?,A military mission aircraft will be priority than a commercial aircraft.,A military training aircraft will be priority than a military mission aircraft.,A commercial aircraft will be priority than a military mission aircraft.,,A,,LTC_LTCS
Which following departure sequence is correct?,VIP flight  -Hospital flight - Training flight,Training flight - Hospital flight - VIP flight,Hospital flight - Commercial flight -Training flight,,C,,LTC_LTCS
Which following arrival sequence is correct?,Hospital flight - Shortage of fuel flight - Commercial flight,Shortage of fuel flight - Commercial flight - Hospital flight,Shortage of fuel flight - Hospital flight – Commercial flight,,C,,LTC_LTCS
Which following arrival sequence is correct?,Training flight  - VIP flight -Hospital flight – Commercial flight,Hospital flight – Commercial flight – VIP flight - Training flight,Hospital flight – VIP flight – Commercial flight – Training flight,VIP flight – Commercial flight – Hospital flight – Training flight,C,,LTC_LTCS
Cam Ranh airport will be an alternate aerodrome for:,Aviation flight,Military transportation flight,Both 1 and 2.,,C,,LTC_LTCS
Distance based wake turbulence seperation minima between aircraft provided with an ATS surveillance in circumstance: heavy aircraft behind heavy aircraft,4.0Nm,5.0nm,6.0NM,,A,,LTC_LTCS
Distance based wake turbulence seperation minima between aircraft provided with an ATS surveillance in circumstance: medium aircraft behind heavy aircraft,4.0NM,6.0nm,5NM,,C,,LTC_LTCS
"A medium aircraft taking off behind a heavy aircraft, the time separation minima shall be:",1 min,2 minutes.,3 minutes,5 minutes,B,,LTC_LTCS
"A light military training  aircraft taking off behind a heavy commercial aircraft, the time separation minima shall be:",1 min.,2 minutes,3 minutes.,5 minutes.,B,,LTC_LTCS
"A medium  military aircraft taking off behind a heavy  commercial aircraft, the time separation minima shall be:",1 min,2 mins.,3 mins,5 mins,B,,LTC_LTCS
"A medium aircraft approaching for landing behind a light aircraft, the time separation minima between them must be:",1 min.,2 minutes,3 minutes.,5 minutes.,B,,LTC_LTCS
"A heavy aircraft approaching for landing behind a medium military aircraft, the time separation minima between them must be:",1 min.,2 minutes,3 minutes.,5 minutes.,B,,LTC_LTCS
Which following departure sequence is correct?,Commercial flight-Military training flight-Military mission flight,Military mission flight-Commercial flight-Military training flight-,Commercial flight-Military training flight-Military hospital flight,,B,,LTC_LTCS
"When the aircraft executing VOR Y Rwy20L approach procedure, IAF 1 is..",D23/RDL 227 CRA,CRA.,D21.5/RDL 254 CRA,Everywhere,B,,LTC_LTCS
"When the aircraft executing VORY Rwy20L approach procedure from the North of airspace, IAF 2 is..",D16.5/RDL 356 CRA.,D30/RDL 356 CRA,D23/RDL 227 CRA,D21.5/RDL 254 CRA,A,,LTC_LTCS
"A light aircraft approaching for landing behind a heavy aircraft, the time separation minima between them must be:",1 min,2 minutes,3 mins,5 minutes,C,,LTC_LTCS
Which following arrival sequence is correct?,Hospital flight - Shortage of fuel flight - Commercial flight,Emergency flight - Hospital flight – Commercial flight,Shortage of fuel flight - Commercial flight - Hospital flight,,B,,LTC_LTCS
How's the weather of Cam Ranh ?,Dry season,Rainy season,Dry season and Rainy season,,C,,LTC_LTCS
Dry season usually starts from____ to ____,Jan - Aug,January - June,February - August,February - June,A,,LTC_LTCS
Rainy season usually starts from ____to _____,June – September,Sep – Dec,September – November,June – December,B,,LTC_LTCS
What type of cloud in the Dry season ?,Ac,Ci,Cs,All of above,D,,LTC_LTCS
What type of cloud in the Rainy season ?,"Cu, Cb, Sc","Cu, CUcon, Sc","CU, CUCON, CB, SC","Cu, CUcon, Cb",C,,LTC_LTCS
Prevailing wind direction during the Dry season from May to August:,The North East,The North,"The North, North East,  South East",South East.,D,,LTC_LTCS
Prevailing wind direction during the Rainy season from September to December,The North East.,The North,"The North, North East,  South East.",South East.,B,,LTC_LTCS
Who is providing the work to ensure the meteorology at Cam Ranh airport ?,Cam Ranh tower,Cam Ranh airport Meteorological Department,Da Nang tower,,B,,LTC_LTCS
Cam Ranh airport Meteorological Department operates at,daytime,on request,24/24,,C,,LTC_LTCS
What types of wind at Cam Ranh Airport?,Ground wind,Sea wind,All of above,,C,,LTC_LTCS
The weather operation minima (visibility) for aircraft take off RWY 02L/R - 20L/R  at Cam Ranh airport:,800m,1500m,3000m,6000m,A,,LTC_LTCS
"The weather operation minima (ceiling/ visibility) for cat C aircraft using  ILS Z,Y,X approach procedure RWY 02L  at Cam Ranh airport:",105m/ 1600m,105m/1000m,105m/1100m,105m/1200m,A,,LTC_LTCS
The weather operation minima (ceiling/ visibility) for cat C aircraft using  ILS Y approach procedure RWY 02R  at Cam Ranh airport:,115m/2000m,115m/ 1800m,115m/1100m,115m/1200m,B,,LTC_LTCS
The weather operation minima (ceiling/ visibility) for cat C aircraft using  ILS Z approach procedure RWY 20L  at Cam Ranh airport:,120m/ 1800m,120m/1900m,120m/2000m,120m/1500m,A,,LTC_LTCS
METAR updates______1 times,30 minutes,10 minutes,90 minutes,60 minutes,A,,LTC_LTCS
The weather operation minima (ceiling/ visibility) for cat C aircraft using  VOR approach procedure RWY 02L  at Cam Ranh airport:,400M/4500M,400m/5000m,500m/4000m,500m/5000m,A,,LTC_LTCS
"The weather operation minima (ceiling/ visibility) for cat C aircraft using  VOR Z,Y,X approach procedure RWY 20R  at Cam Ranh airport:",200M/2000M,300M/3500M,300M/4000M,200m/3400m,D,,LTC_LTCS
"The weather operation minima (ceiling/ visibility) for cat D aircraft using  RNP Z,Y approach procedure RWY 20R  at Cam Ranh airport:",200m/2000M,300M/3500m,300m/4000M,185m/4000m,D,,LTC_LTCS
Acronym of RVR?,Runway visibility Range,Runway Visual Range,Runway virtual Range,Runway variety Range,B,,LTC_LTCS
What's QFE?,Altimeter sub-scale setting to obtain elevation when on the ground,Atmospheric pressure at 1013.2mb,Atmospheric pressure at Aerodrome elevation or at runway threshold,,C,,LTC_LTCS
"what's ""CAVOK"" term?",visibility >= 10km and no minumum visibility report; no significant cloud; No significant weather at or in the vicinity of the aerodrome.,visibility >= 8km and no minumum visibility report; no significant cloud; No significant weather at or in the vicinity of the aerodrome,visibility > 10km and no minumum visibility report; no significant cloud; No significant weather at or in the vicinity of the aerodrome,visibility <= 10km and no minumum visibility report; no significant cloud; No significant weather at or in the vicinity of the aerodrome,A,,LTC_LTCS
"The weather operation minima (ceiling/ visibility) for cat C aircraft using  RNP Z,Y approach procedure RWY 02L  at Cam Ranh airport:",180m/3400m.,200M/2000m,300m/3500M,300M/4000m,A,,LTC_LTCS
"The weather operation minima (ceiling/ visibility/RVR) for cat C,D aircraft using  ILS Y,X approach procedure RWY 20L  at Cam Ranh airport:",110m/1800m/1300m,120M/1800m/1300m,110M/1800m/1400m,110M/1900m/1300m,A,,LTC_LTCS
Alerting service shall be provided by:,The ATS unit responsible for the aircraft.,"The ATS unit responsible for the aircraft, when provided by frequency 121.5",The Area control centre,Only by ATC units,A,,LTC_LTCS
"When providing Alerting Service, a phrase wherein there is reasonable certainty that an aircraft and its occupants are threatened by grave and imminent danger or require immediate assistance is called:",Alert phase,Emergency phase,Distress Phase.,Warning phase,C,,LTC_LTCS
When providing alerting service an aircraft known or believed to be the subject of unlawful interference shall be considered in which state of emergency:,Alert Phase.,Uncertainty phase,Emergency phase,Unsafe phase,A,,LTC_LTCS
"When providing alerting service, the states of emergencies are divided into three phases. They are:","Unsafe phase, alert phase, distress phase","Unsafe phase, alert phase, emergency phase","Uncertainty Phase, Alert Phase, Distress Phase.","Uncertainty phase, alert phase, emergency phase",C,,LTC_LTCS
The sequence of emergency phases are:,"ALERFA, INCERFA, DETRESFA.","Incerfa, Alerfa, Detresfa","DETRESFA, ALERFA, INCERFA.",No difference,B,,LTC_LTCS
. …………shall be given priority over other listed below,VIP a/c,Military a/c,Hospital a/c,Emergency a/c,D,,LTC_LTCS
The pilot of an a/c experience two-way radio communication failure shall set his transponder to code:,A/3 7400.,A/3 7500.,A/3 7600.,A/3 7700.,C,,LTC_LTCS
A radiotelephony distress message transmitted by an a/c  should commence with  the word “….” preferable spoken three times.,SOS,MAYDAY,PANPAN,EMERGENCY,B,,LTC_LTCS
An aircraft has been cleared to land and fails to land within five minutes of the estimated time of landing and communication has not been re - established. The aircraft should be considered in:,Uncertainty phase,Alert Phase,Distress phase,Emergency phase,B,,LTC_LTCS
Emergency frequency at Cam Ranh airport is :,118.2,118.25,121.5,120.1,C,,LTC_LTCS
"In case the aircraft lost contact, TWR Cam Ranh shall :","Quickly check the receiver , the transmitter on the ground",open all means of prevention,"liberated rwy, suspended a/c dep",All of above,D,,LTC_LTCS
"What information shall the ATC unit coordinate with the flight crew when an aircraft operating within controlled airspace needs to dump fuel? The route to be flown (be clear of cities and towns, preferably over water and away from thunderstorm area),",The duration of fuel dumping and at lowest level of 8000ft if possible.,The duration of fuel dumping and at lowest level of 6000ft if possible,The duration of fuel dumping and at least 2000ft above the otherknown traffic.,The duration of fuel dumping and at lowest level of 9000ft if possible.,B,,LTC_LTCS
Vertical separation if other known traffic behind aircraft dumping fuel within 15 minutes flying time or a distance of 93km (50NM) by: at least 300m (1000ft) if above the aircraft dumping fuel and :,At least 600m (2000ft) if below the aircraft dumping fuel.,At least 300m (1000ft) if below the aircraft dumping fuel.,At least 900m (3000ft) if below the aircraft dumping fuel,At least 1200m (4000ft) if below the aircraft dumping fuel.,C,,LTC_LTCS
What should you do when the pilot report hijack after landed?,Notify the airport authorities.,Take the aircarf out separate parking.,Asistance at the request of the pilot.,All of the above,D,,LTC_LTCS
"After take off, the pilot report that bird strike.Request priority landing.What should you do?","The controller give the pilot all the information necessary for example surface wind, runway in use…..",Request fuel on board and person on board.,Prioritize the landing this aircraft .,All of the above,D,,LTC_LTCS
"What should you do when the aircraft arrival request priority landing,we have a passenger heart attack?",Prioritize the landing this aircraft.,Follow in sequence approach if this aircraft number 2.,"Coordinate with ACC HCM for this aircraft,give way this aircarf for priority landing.",a and c,D,,LTC_LTCS
In case two aircarfts in holding pattern for approach. The aircraft number 2 in sequence request priority landing due to low fuel. What should you do in this case?,Inform the traffic number1 and request intention of the pilot.,Keep the aircraft number 2 continue hold.,Inform the aircraft number 1 and give way for aircraft number 2 for emergency landing.,,C,,LTC_LTCS
Abnormal situations are:,Situations involving an aircraft not compliant accurate the flight plan for reasons of aircraft safety.,Situations that the aircraft was threatened by a serious accident or risk of accident need immediate assistance,Situations related to unsafety  problems imminent to aircraft,,A,,LTC_LTCS
Emergency situations are:,"Situations related to safety issues imminent to aircraft or people on board, but not in need of immediate assistance.",Situations involving the case of an aircraft does not comply accurately the flight plan for safety reasons.,Situations that the aircraft was threatened by a serious accident or risk of accident imminent to aircraft and need immediate assistance,,C,,LTC_LTCS
When an aircraft continuously flicker the position signal lights but different with normal flashing lights that  is means:,Aircraft need to be landing,Aircraft need to give way,Aircraft encounter state of emergencies.,Aircraft encounter unusual situations,C,,LTC_LTCS
Emergency frequency at Cam Ranh APP:,127.9,124.35,121.5,134.05,C,,LTC_LTCS
The elevation of RWY 20R threshold is:,14.1m,15m,16m,17m,A,,LTC_LTCS
The elevation of RWY 02L threshold is:,6.0m,7m,8m,9m,A,,LTC_LTCS
The elevation of RWY 20L threshold is:,10.6m,11m,12m,13m,A,,LTC_LTCS
The elevation of RWY 02R threshold is:,4.6m,5m,3m,4m,A,,LTC_LTCS
The dimensions of  TWY W is:,3000m x 25m,3048m x 25m,3000m x 30m,3048m x 23m,D,,LTC_LTCS
The PCR of TWY W is:,440R/B/X/U,470R/B/X/U,470R/B/X/T,494R/B/X/U,B,,LTC_LTCS
The width of TWY W4 is:,20m,"12,5m.",25m,23m,B,,LTC_LTCS
Cam Ranh airport operates:,12/24,daytime only,24/24,on request,C,,LTC_LTCS
How many colors does light gun have?,2,3,4,5,B,,LTC_LTCS
The colors of light gun are:,"blue, yellow, red","green, yellow, red","blue, red, white","green, red, white.",D,,LTC_LTCS
"To an aircraft in the air, the steady green signal means:",cleared to land.,continue circling,return for landing,,A,,LTC_LTCS
"To an aircraft in the air, the steady red signal means:",do not land,airport unsafe,give way to other aircraft and continue circling.,,C,,LTC_LTCS
"To an aircraft in the air, the flashing green signal means:",land at this airport.,return for landing,airport safe.,,B,,LTC_LTCS
"To an aircraft in the air, the flashing red signal means:",do not land.,"airport unsafe, do not land",give way to other aircraft and continue circling.,,B,,LTC_LTCS
"To an aircraft in the air, the flashing white signal means:",land at this airport,return for landing,land at this airport and taxi to apron.,,C,,LTC_LTCS
"To an aircraft on the ground, the steady green signal means:",cleared to cross.,cleared for take off,cleared to taxi.,,B,,LTC_LTCS
"To an aircraft on the ground, the steady red signal means:",return to the starting point on airport.,vacate the runway.,stop,,C,,LTC_LTCS
"To an aircraft on the ground, the flashing white signal means:",taxi clear of the runway in use,cleared for taxi,return to the starting point on airport.,,C,,LTC_LTCS
The geographical direction of Runway in Cam Ranh is,010⁰- 190⁰,028⁰ - 208⁰,008⁰ - 188⁰,019⁰- 199⁰,D,,LTC_LTCS
The dimensions of RWY20R/02L is:,3051M*45m,3050m*45m,3050m*44m,3050m*43m,A,,LTC_LTCS
The dimensions of RWY20L/02R is:,3048m*45M,3050m*43m,3050m*44m,3050m*45m,A,,LTC_LTCS
RESA of RWY 20L is,130M x 130M,130m x 90m,90M x 90M,90M x 70M,B,,LTC_LTCS
RESA of RWY 02R is,90M x 90M,130m x 90m,130M x 130M,90M x 70M,B,,LTC_LTCS
RESA of RWY 20R is,90m x 70m,130M x 130M,90M x 90M,100M x 100M,A,,LTC_LTCS
"Aircraft are not allowed to cross RWY 20R/02L when
landing aircraft position on final of RWY 20R/02L is at a
distance less than:",6nm when ATS surveillance signal available or after 3mins than estimated landing time when ATS surveillance signal not available,3NM when ATS surveillance signal available or after 3 mins than estimated landing time when ATS surveillance signal not available,3NM when ATS surveillance signal available or after 5 mins than estimated landing time when ATS surveillance signal not available,6NM when ATS surveillance signal available or after 5 mins than estimated landing time when ATS surveillance signal not available,A,,LTC_LTCS
Strength (PCR) and surface of RWY 02L/20R,510 /R/B/X/U,550/R/B/X/U,510/R/B/W/T,510/R/A/X/U,A,,LTC_LTCS
Strength (PCR) and surface of RWY 02R/20L,650/R/A/W/T,750/R/A/W/U,650 /R/A/W/U,660/R/A/W/U,C,,LTC_LTCS
"Which taxiway aircraft are not allowed to hold short of RWY  when
landing aircraft position on final of R02L?",G7,W1,G1,W7,C,,LTC_LTCS
RESA of RWY 02L is,90M x 90M,90m x 70m,100m x 100m,130m x 130m,A,,LTC_LTCS
"According to Annex 14, the aircraft
 wingspan of Code D from:",15 m but < 24 m,24 m but < 36 m,36 m but less than 52 m.,None of these above,C,,LTC_LTCS
"According to Annex 14, the aircraft
 wingspan of Code E from:",24 m but < 36 m,36 m but < 52 m,52 m but less than 65 m.,65 m but < 80 m,C,,LTC_LTCS
Dimensions of taxiway G7?,450m x 23M,450m x 45m,390m x 15m,152m x 23m,A,,LTC_LTCS
Dimensions of taxiway W7?,406m x 23m,206M x 23m,604m x 23m,206m x 45m,B,,LTC_LTCS
Dimensions of taxiway Y7?,152m x 45m,110m x 23m,120m x 15m,152m x 23M,D,,LTC_LTCS
"Pavement Classification Rating (PCR) of
taxiway G7 ?",650R/A/X/U .,650 R/A/W/U,650R/B/W/U .,650R/A/W/T .,B,,LTC_LTCS
"Pavement Classification Rating (PCR) of
taxiway W7 ?",650R/A/X/U .,650 R/A/W/U,650R/B/W/U .,650R/A/W/T .,B,,LTC_LTCS
"Pavement Classification Rating (PCR) of
taxiway Y7 ?",650 R/A/W/U,650R/A/X/U .,650R/B/W/U .,650R/A/W/T .,A,,LTC_LTCS
How many hotspots are mentioned in AIP SUP 48/20,1,3,5,7,B,,LTC_LTCS
"Pavement Classification Rating (PCR) of
taxiway W1?",470/R/B/X/U,650R/A/X/U .,470R/A/X/U .,650R/B/X/U .,A,,LTC_LTCS
"Pavement Classification Rating (PCR) of
taxiway G1 ?",650R/A/X/U .,470R/A/X/U .,470/R/B/X/U,650R/B/X/U .,C,,LTC_LTCS
"Pavement Classification Rating (PCR) of
taxiway Y5 ?",470/R/B/X/U,510/R/B/X/U,650/R/A/W/U,1/2 TWY Y5 adjacent to apron: 650/R/A/W/U .1/2TWY Y5 adjacent to TWY W: 510/R/B/X/U,D,,LTC_LTCS
"At Cam Ranh Airport:The aircraft repair and maintenance.
Aircraft engine run-up idle/high power mode (When the aircraft at the adjacent stand is not in operation) due to technical problem of the aircraft. shall be approved by:",TWR CRA Controller,Civil Authorities at the airport,Airport Duty Manager of Cam Ranh Airport.,Representative of the Airlines,C,,LTC_LTCS
